"PowerRanking","Celebrity","Pay"
1,"Tom Cruise",67
2,"Rolling Stones",90
3,"Oprah Winfrey",225
4,"U2",110
5,"Tiger Woods",90
6,"Steven Spielberg",332
7,"Howard Stem",302
8,"50 Cent",41
9,"Cast of the Sopranos",52
10,"Dan Brown",88
11,"Bruce Springsteen",55
12,"Donald Trump",44
13,"Muhammad Ali",55
14,"Paul McCartney",40
15,"George Lucas",233
16,"Elton John",34
17,"David Letterman",40
18,"Phil Mickelson",47
15,"J.K. Rowling",75
20,"Bradd Pitt",25
21,"Peter Jackson",39
22,"Dr. Phil McGraw",45
23,"Jay Lenon",32
24,"Celine Dion",40
25,"Kobe Bryant",31
1,"Tom Cruise",NA
2,"Rolling Stones",NA
3,"Oprah Winfrey",NA
4,"U2",NA
5,"Tiger Woods",NA
6,"Steven Spielberg",NA
7,"Howard Stem",NA
8,"50 Cent",NA
9,"Cast of the Sopranos",NA
10,"Dan Brown",NA
11,"Bruce Springsteen",NA
12,"Donald Trump",NA
13,"Muhammad Ali",NA
14,"Paul McCartney",NA
15,"George Lucas",NA
16,"Elton John",NA
17,"David Letterman",NA
18,"Phil Mickelson",NA
15,"J.K. Rowling",NA
20,"Bradd Pitt",NA
21,"Peter Jackson",NA
22,"Dr. Phil McGraw",NA
23,"Jay Lenon",NA
24,"Celine Dion",NA
25,"Kobe Bryant",NA
1,"Tom Cruise",NA
2,"Rolling Stones",NA
3,"Oprah Winfrey",NA
4,"U2",NA
5,"Tiger Woods",NA
6,"Steven Spielberg",NA
7,"Howard Stem",NA
8,"50 Cent",NA
9,"Cast of the Sopranos",NA
10,"Dan Brown",NA
11,"Bruce Springsteen",NA
12,"Donald Trump",NA
13,"Muhammad Ali",NA
14,"Paul McCartney",NA
15,"George Lucas",NA
16,"Elton John",NA
17,"David Letterman",NA
18,"Phil Mickelson",NA
15,"J.K. Rowling",NA
20,"Bradd Pitt",NA
21,"Peter Jackson",NA
22,"Dr. Phil McGraw",NA
23,"Jay Lenon",NA
24,"Celine Dion",NA
25,"Kobe Bryant",90
